City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
Keti Bandar,PK,24.1447,67.4497,63.0,59,0,8.1,clear sky
Mataura,NZ,-46.1927,168.8643,70.0,55,100,11.01,overcast clouds
Butaritari,KI,3.0707,172.7902,80.35,76,94,5.75,light rain
Moengo,SR,5.6167,-54.4,81.63,69,52,7.47,broken clouds
Terney,RU,45.0503,136.6092,29.39,93,100,9.73,light snow
Bathsheba,BB,13.2167,-59.5167,82.4,61,20,20.71,few clouds
Thompson,CA,55.7435,-97.8558,-5.8,71,75,3.44,light snow
Talnakh,RU,69.4865,88.3972,-23.96,80,100,9.62,overcast clouds
Pacific Grove,US,36.6177,-121.9166,53.01,54,75,9.22,broken clouds
Ushuaia,AR,-54.8,-68.3,44.6,61,75,26.46,broken clouds
Roebourne,AU,-20.7833,117.1333,86.38,22,32,11.27,scattered clouds
Nyurba,RU,63.2842,118.3319,-51.27,76,53,1.61,broken clouds
Fairbanks,US,64.8378,-147.7164,-7.01,69,40,1.39,scattered clouds
Tasiilaq,GL,65.6145,-37.6368,10.4,52,90,13.8,light snow
New Lenox,US,41.512,-87.9656,33.8,86,90,14.97,overcast clouds
Malanje,AO,-9.5402,16.341,64.47,94,93,2.66,overcast clouds
Novyy Urengoy,RU,66.0833,76.6333,-26.91,86,100,5.08,overcast clouds
Dikson,RU,73.5069,80.5464,-24.14,84,100,7.92,overcast clouds
Port Alfred,ZA,-33.5906,26.891,69.01,94,80,3.0,broken clouds
Kodiak,US,57.79,-152.4072,35.6,60,1,6.91,clear sky
Saldanha,ZA,-33.0117,17.9442,66.2,77,28,13.8,scattered clouds
Caravelas,BR,-17.7125,-39.2481,80.31,69,100,8.03,overcast clouds
Port Blair,IN,11.6667,92.75,76.95,83,0,8.81,clear sky
Saint-Pierre,RE,-21.3393,55.4781,77.0,69,0,5.75,clear sky
Iqaluit,CA,63.7506,-68.5145,-2.2,71,20,20.71,snow
Nizhniy Tsasuchey,RU,50.5167,115.1333,-7.98,84,75,12.28,broken clouds
Bluff,NZ,-46.6,168.3333,70.0,55,100,11.01,overcast clouds
Ayan,RU,56.45,138.1667,-9.76,85,100,8.16,overcast clouds
Hope,US,33.6671,-93.5916,69.01,38,0,5.99,clear sky
Eyl,SO,7.9803,49.8164,72.63,76,23,12.88,few clouds
Kavaratti,IN,10.5669,72.642,81.03,68,0,10.36,clear sky
Clyde River,CA,70.4692,-68.5914,5.0,78,40,19.57,snow
Ahipara,NZ,-35.1667,173.1667,69.33,75,1,1.5,clear sky
Lebu,CL,-37.6167,-73.65,60.31,61,0,18.12,clear sky
Kaitangata,NZ,-46.2817,169.8464,61.0,70,100,3.44,overcast clouds
Verkhovazhye,RU,60.7472,42.0465,33.26,94,100,7.23,overcast clouds
Upernavik,GL,72.7868,-56.1549,1.44,90,100,12.73,overcast clouds
Lagoa,PT,39.05,-27.9833,62.38,86,100,36.15,overcast clouds
Labrea,BR,-7.2586,-64.7981,84.22,83,100,3.4,light rain
Kavieng,PG,-2.5744,150.7967,83.07,73,100,8.23,overcast clouds
Narsaq,GL,60.9167,-46.05,23.0,30,20,23.02,few clouds
Hasaki,JP,35.7333,140.8333,44.6,100,75,4.61,light rain
Romny,UA,50.751,33.4747,32.74,93,100,10.83,overcast clouds
Flinders,AU,-34.5833,150.8552,71.01,80,100,7.0,overcast clouds
Cidreira,BR,-30.1811,-50.2056,79.61,76,60,12.5,broken clouds
Vieques,PR,18.425,-65.8329,82.4,65,75,17.27,broken clouds
Katsuura,JP,35.1333,140.3,46.4,87,75,4.61,light rain
Kapaa,US,22.0752,-159.319,75.99,83,90,23.02,light rain
Newtownards,GB,54.5924,-5.6909,46.4,93,90,5.75,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,84,75,14.97,light snow
Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,5.75,clear sky
Sur,OM,22.5667,59.5289,65.46,65,0,2.91,clear sky
Souillac,MU,-20.5167,57.5167,75.2,83,20,6.91,few clouds
Gat,IL,31.61,34.7642,55.99,66,0,2.3,clear sky
Kununurra,AU,-15.7667,128.7333,75.2,89,100,6.11,overcast clouds
Yulara,AU,-25.2406,130.9889,75.2,88,75,9.22,broken clouds
Vardo,NO,70.3705,31.1107,28.4,80,75,31.07,light snow
Saint George,US,37.1041,-113.5841,39.2,52,1,4.61,clear sky
Yellowknife,CA,62.456,-114.3525,-14.01,69,75,11.5,broken clouds
Peace River,CA,56.2501,-117.286,1.4,71,90,6.91,light snow
Saskylakh,RU,71.9167,114.0833,-34.56,82,18,1.34,few clouds
Prieska,ZA,-29.6641,22.7474,75.94,65,100,18.12,overcast clouds
Ketchikan,US,55.3422,-131.6461,32.0,69,1,6.91,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,70.0,59,40,11.5,scattered clouds
Hilo,US,19.7297,-155.09,75.2,73,90,10.36,moderate rain
Khatanga,RU,71.9667,102.5,-24.68,82,49,8.61,scattered clouds
Hithadhoo,MV,-0.6,73.0833,78.93,84,80,12.19,light rain
Nikolskoye,RU,59.7035,30.7861,35.01,93,90,8.95,light snow
Hay River,CA,60.8156,-115.7999,-7.6,71,100,4.61,overcast clouds
Muisne,EC,0.6,-80.0333,78.8,100,75,4.61,light rain
Hobart,AU,-42.8794,147.3294,53.01,66,20,12.66,few clouds
Arlit,NE,18.7369,7.3853,71.04,15,0,9.57,clear sky
Camara De Lobos,PT,32.6333,-16.9667,64.4,72,40,10.36,scattered clouds
Hamilton,US,39.1834,-84.5333,45.0,76,90,14.97,overcast clouds
Belmonte,BR,-15.8631,-38.8828,80.6,65,20,9.22,few clouds
Bhimunipatnam,IN,17.8833,83.4333,73.4,94,40,2.3,mist
Mahebourg,MU,-20.4081,57.7,75.2,83,20,6.91,few clouds
Cockburn Town,TC,21.4612,-71.1419,78.8,65,40,11.5,scattered clouds
Villarrobledo,ES,39.2699,-2.6012,52.0,98,89,7.0,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,19.57,broken clouds
Bethel,US,41.3712,-73.414,28.4,80,90,6.91,light snow
Ambilobe,MG,-13.2,49.05,76.21,90,97,1.72,light rain
Bengkulu,ID,-3.8004,102.2655,74.12,91,100,2.24,light rain
Rafai,CF,4.95,23.9167,76.77,36,0,2.57,clear sky
Gabu,GW,12.2833,-14.2167,83.05,14,0,3.6,clear sky
Atuona,PF,-9.8,-139.0333,78.15,77,4,17.74,clear sky
San Patricio,US,28.017,-97.5169,82.4,54,1,6.91,clear sky
Berdigestyakh,RU,62.0989,126.6992,-53.0,76,91,3.56,overcast clouds
Olga,RU,43.7444,135.2892,28.53,90,100,16.35,overcast clouds
Tiksi,RU,71.6872,128.8694,-36.15,84,98,2.57,overcast clouds
Victoria,HK,22.2855,114.1577,66.0,81,0,1.01,clear sky
Calama,CL,-22.4667,-68.9333,73.4,16,40,19.57,scattered clouds
Barra,BR,-11.0894,-43.1417,90.1,35,12,5.79,few clouds
Shingu,JP,33.7333,135.9833,57.51,90,99,3.47,overcast clouds
Vostok,RU,46.4856,135.8833,12.02,96,100,4.0,light snow
Leningradskiy,RU,69.3833,178.4167,-18.26,86,100,8.63,overcast clouds
Talara,PE,-4.5772,-81.2719,86.0,51,0,17.27,clear sky
Malakal,SS,9.5334,31.6605,82.9,25,0,6.24,clear sky
Ambon,ID,-3.6954,128.1814,84.99,77,100,1.99,light rain
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.4,63,100,15.66,overcast clouds
Chuy,UY,-33.6971,-53.4616,85.57,52,26,7.63,scattered clouds
Venado Tuerto,AR,-33.7456,-61.9688,96.01,25,100,7.0,overcast clouds
Werther,DE,52.0777,8.4179,35.01,91,100,8.55,overcast clouds
Gualaquiza,EC,-3.4,-78.55,76.69,59,80,2.33,light rain
Nelson Bay,AU,-32.7167,152.15,75.2,88,90,12.66,overcast clouds
Grindavik,IS,63.8424,-22.4338,26.6,50,0,20.71,clear sky
Paamiut,GL,61.994,-49.6678,17.74,79,69,9.8,broken clouds
Ilo,PE,-17.6394,-71.3375,75.79,63,0,12.59,clear sky
Bridlington,GB,54.0831,-0.1919,36.0,94,100,14.0,light rain
Bara,NG,10.3744,10.7288,78.08,19,24,7.83,few clouds
Linguere,SN,15.3953,-15.1193,80.08,12,0,8.34,clear sky
Jamestown,US,42.097,-79.2353,36.0,93,90,11.48,overcast clouds
Wodonga,AU,-36.1167,146.8833,66.2,82,45,4.61,scattered clouds
Hokitika,NZ,-42.7167,170.9667,64.38,88,70,2.42,broken clouds
Artyom,AZ,40.4723,50.333,30.2,100,20,2.3,fog
Atar,MR,20.5169,-13.0499,73.33,18,0,7.18,clear sky
Ancud,CL,-41.8697,-73.8203,62.6,48,75,10.36,broken clouds
Trinidad,BO,-14.8333,-64.9,77.0,94,75,5.75,moderate rain
Clarence Town,AU,-32.5833,151.7833,78.01,83,75,10.36,broken clouds
Hoquiam,US,46.9809,-123.8893,39.99,75,90,19.57,moderate rain
Barrow,US,71.2906,-156.7887,-9.4,77,90,5.75,overcast clouds
Lavrentiya,RU,65.5833,-171.0,-2.9,87,81,6.8,broken clouds
Aripuana,BR,-9.1667,-60.6333,86.27,64,100,1.97,overcast clouds
Sohag,EG,26.557,31.6948,55.4,54,0,4.61,clear sky
Atasu,KZ,48.6814,71.6433,4.37,95,53,1.07,broken clouds
Hovd,MN,48.0056,91.6419,-3.48,77,0,1.61,clear sky
Tuy Hoa,VN,13.0833,109.3,71.74,89,100,8.55,overcast clouds
Luderitz,NA,-26.6481,15.1594,68.58,62,17,26.08,few clouds
Chokurdakh,RU,70.6333,147.9167,-29.38,81,100,6.08,overcast clouds
Corrente,BR,-3.7367,-43.3394,79.59,86,100,4.0,moderate rain
Banki,IN,20.3833,85.5333,71.6,83,20,4.61,mist
Severo-Kurilsk,RU,50.6789,156.125,24.3,95,81,21.27,light snow
Nago,JP,26.5881,127.9761,64.4,72,90,9.22,overcast clouds
Kibaya,TZ,-5.3,36.5667,59.02,100,100,3.65,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,75.99,83,20,6.91,few clouds
Sao Filipe,CV,14.8961,-24.4956,75.13,66,0,5.82,clear sky
Koslan,RU,63.4564,48.8989,28.11,98,100,4.92,overcast clouds
Tatarsk,RU,55.219,75.9828,22.41,98,89,10.42,overcast clouds
Dauphin,CA,51.1494,-100.0502,-11.2,70,1,2.3,clear sky
Tefe,BR,-3.3542,-64.7114,80.6,89,40,3.44,scattered clouds
Port Elizabeth,ZA,-33.918,25.5701,68.0,94,75,9.22,broken clouds
Yaring,TH,6.8662,101.3689,75.49,84,86,7.52,overcast clouds
Bonthe,SL,7.5264,-12.505,79.05,79,0,9.22,clear sky
Minab,IR,27.1467,57.0801,57.2,77,0,4.61,haze
Panacan,PH,9.2463,118.4082,76.15,71,22,9.78,few clouds
Victoria Point,AU,-27.5833,153.3,75.99,84,32,1.83,scattered clouds
Deer Lake,CA,49.1667,-57.4316,35.6,69,75,6.91,broken clouds
Zabol,AF,32.25,67.25,30.29,74,0,0.76,clear sky
Mahibadhoo,MV,3.7833,72.9667,80.74,74,100,13.51,overcast clouds
Husavik,IS,66.0449,-17.3389,23.0,80,90,4.61,light snow
Balkanabat,TM,39.5108,54.3671,40.35,65,77,6.62,broken clouds
Follonica,IT,42.9263,10.7616,50.0,81,0,1.14,clear sky
La Ronge,CA,55.1001,-105.2842,-22.0,69,38,3.44,scattered clouds
Angoche,MZ,-16.2325,39.9086,79.77,82,0,5.21,clear sky
Chakulia,IN,22.4833,86.7167,58.46,42,0,5.97,clear sky
Alofi,NU,-19.0595,-169.9187,77.0,94,90,6.91,moderate rain
Cravo Norte,CO,6.3017,-70.2041,93.13,35,25,11.54,scattered clouds
Rong Kwang,TH,18.339,100.3174,72.0,59,14,1.81,light rain
Vestmannaeyjar,IS,63.4427,-20.2734,31.77,86,100,22.59,overcast clouds
Norman Wells,CA,65.282,-126.8329,-16.6,83,75,3.44,light snow
Spornoye,RU,50.8448,37.2913,33.8,100,90,4.47,moderate rain
Svetlogorsk,BY,52.6333,29.7333,31.48,98,100,24.87,snow
Beyneu,KZ,45.3167,55.2,30.0,94,68,15.66,broken clouds
Huarmey,PE,-10.0681,-78.1522,77.85,61,95,13.04,overcast clouds
Emerald,AU,-23.5333,148.1667,73.4,88,0,3.44,clear sky
Tual,ID,-5.6667,132.75,82.92,79,100,23.49,overcast clouds
Airai,TL,-8.9266,125.4092,59.74,100,97,2.98,overcast clouds
Neverkino,RU,52.7854,46.7417,30.83,98,100,12.33,overcast clouds
Itarema,BR,-2.9248,-39.9167,82.17,73,100,15.37,overcast clouds
Les Cayes,HT,18.2,-73.75,80.76,57,91,8.43,overcast clouds
Lata,PT,40.1629,-8.3327,60.01,100,100,2.75,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,-4.0,84,1,1.86,clear sky
Meulaboh,ID,4.1363,96.1285,75.69,89,79,4.56,broken clouds
Abha,SA,18.2164,42.5053,60.8,50,0,4.41,clear sky
Chone,EC,-0.6833,-80.1,80.1,80,100,4.9,overcast clouds
Serowe,BW,-22.3833,26.7167,71.04,79,100,8.79,light rain
Sao Francisco,BR,-15.9486,-44.8644,86.32,60,70,2.39,broken clouds
Mubende,UG,0.5606,31.39,64.83,76,12,2.21,few clouds
Richards Bay,ZA,-28.783,32.0377,79.75,79,100,5.82,overcast clouds
East London,ZA,-33.0153,27.9116,74.98,78,100,9.71,overcast clouds
Cairns,AU,-16.9167,145.7667,75.2,83,75,12.66,broken clouds
Fukue,JP,32.6881,128.8419,53.29,73,32,21.3,scattered clouds
Aitape,PG,-3.1374,142.3475,78.26,84,100,7.05,overcast clouds
Dunedin,NZ,-45.8742,170.5036,70.0,44,62,4.0,broken clouds
Ginir,ET,7.1333,40.7,59.34,31,26,5.88,scattered clouds
Chimore,BO,-16.9833,-65.1333,79.68,92,100,1.19,light rain
Portoferraio,IT,42.8115,10.3146,50.0,51,0,3.0,clear sky
Eureka,US,40.8021,-124.1637,43.0,65,100,10.0,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,24.8,74,1,6.91,mist
Digby,CA,44.6169,-65.7655,35.01,80,62,4.61,broken clouds
Thongwa,MM,16.7619,96.5278,69.8,94,0,3.44,clear sky
Mahanoro,MG,-19.9,48.8,76.91,87,62,4.54,light rain
Anadyr,RU,64.75,177.4833,-5.01,77,0,4.47,clear sky
Vernon,CA,50.2581,-119.2691,32.0,80,76,2.3,broken clouds
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,79.39,82,95,5.08,overcast clouds
Gigmoto,PH,13.7796,124.39,77.22,83,54,6.29,broken clouds
Ust-Kuyga,RU,70.0167,135.6,-45.78,76,53,1.5,broken clouds
Leshukonskoye,RU,64.8989,45.7622,33.13,97,100,5.75,light rain
Coahuayana,MX,18.7333,-103.6833,82.4,36,40,6.49,scattered clouds
Macenta,GN,8.5435,-9.471,75.13,23,0,1.9,clear sky
Floro,NO,61.5996,5.0328,30.2,93,20,8.05,few clouds
Chikwawa,MW,-16.0335,34.8009,75.88,81,97,1.72,overcast clouds
Craig,US,40.5153,-107.5464,24.8,79,20,2.66,light snow
Ngunguru,NZ,-35.6167,174.5,68.0,83,68,3.0,broken clouds
Coquimbo,CL,-29.9533,-71.3436,66.2,72,40,11.5,scattered clouds
Simao,CN,22.7886,100.9748,51.08,85,0,0.96,clear sky
Miyako,JP,39.6367,141.9525,45.84,88,100,9.93,overcast clouds
Bilma,NE,18.6853,12.9164,66.49,19,0,8.57,clear sky
Melfi,IT,40.9965,15.6514,32.0,80,49,3.0,scattered clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,87.8,65,0,17.27,clear sky
Ola,RU,59.5833,151.2833,-9.98,85,99,11.27,overcast clouds
Raalte,NL,52.3858,6.275,37.0,93,100,3.0,overcast clouds
Ilulissat,GL,69.2167,-51.1,12.2,62,75,19.57,broken clouds
Dingle,PH,10.9995,122.6711,73.02,89,100,6.98,light rain
Inuvik,CA,68.3499,-133.7218,-11.2,84,86,4.61,overcast clouds
Shimoda,JP,34.6667,138.95,48.99,94,100,19.6,light rain
Ekibastuz,KZ,51.6667,75.3667,28.94,98,100,15.57,overcast clouds
Kuandian,CN,40.7286,124.7847,17.28,86,0,3.83,clear sky
Goldsboro,US,35.3849,-77.9928,50.0,100,75,5.75,mist
Ewa Beach,US,21.3156,-158.0072,77.0,69,1,8.05,light rain
Fortuna Foothills,US,32.6578,-114.4119,57.0,33,1,10.36,clear sky
Namibe,AO,-15.1961,12.1522,77.14,73,0,7.83,clear sky
Ponta Do Sol,PT,32.6667,-17.1,61.0,73,42,1.01,scattered clouds
Aksu,CN,41.1231,80.2644,17.4,88,0,0.31,clear sky
Hami,CN,42.8,93.45,19.27,80,12,7.65,few clouds
Fayetteville,US,35.0527,-78.8784,51.8,93,90,9.75,mist
Abu Zabad,SD,12.35,29.25,72.9,21,2,10.87,clear sky
Saint-Joseph,RE,-21.3667,55.6167,77.0,69,0,5.75,clear sky
Camocim,BR,-2.9022,-40.8411,82.09,80,93,11.97,overcast clouds
Krasnyy Oktyabr,RU,56.1167,38.8833,32.41,94,100,12.06,light snow
Dekar,BW,-21.5333,21.9333,73.36,73,100,4.47,light rain
Jalu,LY,29.0331,21.5482,63.86,26,76,11.34,broken clouds
Pisco,PE,-13.7,-76.2167,78.8,57,7,27.63,dust
Srednekolymsk,RU,67.45,153.6833,-31.2,83,100,10.47,overcast clouds
Turek,PL,52.0155,18.5005,30.99,91,100,1.01,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,62.01,94,75,13.8,broken clouds
Champerico,GT,14.3,-91.9167,89.6,51,40,11.5,scattered clouds
Urumqi,CN,43.801,87.6005,6.8,85,95,1.52,mist
Varadero,CU,23.1536,-81.2514,84.2,58,40,3.44,scattered clouds
Lorengau,PG,-2.0226,147.2712,82.51,76,99,9.89,overcast clouds
Blackwater,AU,-23.5833,148.8833,71.29,83,3,4.68,clear sky
Bandarbeyla,SO,9.4942,50.8122,73.08,77,1,19.86,clear sky
Ambo,PE,-10.1308,-76.2047,74.62,44,91,8.81,light rain
Kautokeino,NO,69.0125,23.0412,8.83,94,95,9.6,overcast clouds
Tarko-Sale,RU,64.9225,77.785,-24.12,86,100,11.65,overcast clouds
Omboue,GA,-1.5746,9.2618,78.08,87,100,4.92,light rain
Ucluelet,CA,48.9329,-125.5528,42.01,65,90,13.8,overcast clouds
Acapulco,MX,16.8634,-99.8901,84.2,70,1,6.91,clear sky
Rabo De Peixe,PT,37.8,-25.5833,62.01,94,75,13.8,broken clouds
Korla,CN,41.7597,86.1469,20.55,81,0,2.64,clear sky
Teguise,ES,29.0605,-13.564,66.2,72,20,20.71,few clouds
Kenai,US,60.5544,-151.2583,14.0,85,1,3.44,clear sky
Marsh Harbour,BS,26.5412,-77.0636,76.62,74,46,12.8,scattered clouds
Imbituba,BR,-28.24,-48.6703,82.4,65,75,11.5,broken clouds
Avera,US,33.194,-82.5271,71.6,94,90,5.75,overcast clouds
Charlestown,AU,-32.95,151.6667,75.99,86,80,15.61,broken clouds
Krasnyy,RU,54.5678,31.4333,30.6,98,98,17.74,snow
Hervey Bay,AU,-25.2986,152.8535,73.0,88,40,5.75,scattered clouds
Belen,TR,36.4891,36.2233,41.0,100,75,2.3,broken clouds
Novoanninskiy,RU,50.5287,42.6747,34.0,92,100,12.59,overcast clouds
Sao Joaquim,BR,-28.2939,-49.9317,66.67,98,98,5.26,overcast clouds
Zachary,US,30.6485,-91.1565,73.99,43,90,4.61,overcast clouds
Oktyabrskoye,RU,43.0645,44.7417,28.4,86,98,8.95,overcast clouds
Kozhva,RU,65.1073,57.0459,-10.03,89,100,8.28,overcast clouds
Kulhudhuffushi,MV,6.6221,73.07,80.83,60,86,9.89,overcast clouds
Portobelo,PA,9.55,-79.65,89.01,99,36,12.55,scattered clouds
Lucea,JM,18.451,-78.1736,84.2,65,20,25.32,few clouds
Faanui,PF,-16.4833,-151.75,81.25,74,20,15.93,light rain
Camacha,PT,33.0833,-16.3333,62.6,82,40,8.05,scattered clouds
Gonzalez,US,30.5816,-87.2914,73.0,64,90,6.91,overcast clouds
Chincholi,IN,17.4667,77.4333,69.42,51,0,5.7,clear sky
Maryborough,AU,-25.5333,152.7,68.86,96,34,4.34,scattered clouds
Kuopio,FI,62.8924,27.677,32.0,100,90,4.61,light snow
Lompoc,US,34.6391,-120.4579,53.6,47,12,11.5,few clouds
Mount Gambier,AU,-37.8333,140.7667,51.8,71,40,11.5,scattered clouds
Yakeshi,CN,49.2833,120.7333,-17.99,87,66,8.59,broken clouds
Sechura,PE,-5.5569,-80.8222,85.95,46,59,13.56,broken clouds
Maturin,VE,9.75,-63.1767,82.29,64,100,12.1,overcast clouds
Swiecie,PL,53.4095,18.4474,34.0,77,100,8.01,overcast clouds
Killybegs,IE,54.6333,-8.45,48.99,100,90,11.5,overcast clouds
Kendari,ID,-3.945,122.4989,76.6,87,100,1.97,overcast clouds
Faya,SA,18.3851,42.4509,60.8,50,0,2.84,clear sky
Devils Lake,US,48.1128,-98.8651,-8.0,70,1,6.91,clear sky
Galdar,ES,28.147,-15.6502,66.99,77,20,20.71,few clouds
Vanimo,PG,-2.6741,141.3028,78.15,83,100,4.94,light rain
Vanino,RU,49.0869,140.2543,12.96,96,100,1.9,light snow
Rochegda,RU,62.8,43.25,29.46,99,100,6.44,light snow
Zeya,RU,53.75,127.2667,-10.59,87,100,4.29,overcast clouds
Kalianget,ID,-7.05,113.9333,79.7,82,99,7.78,overcast clouds
Petrovskaya,RU,45.4314,37.955,53.6,58,100,11.18,overcast clouds
Starosubkhangulovo,RU,53.1031,57.4423,26.6,97,100,6.02,overcast clouds
Zyryanovsk,KZ,49.7386,84.2719,-2.49,88,100,0.51,overcast clouds
Hammond,US,41.5834,-87.5,32.0,86,90,5.75,light snow
Kasongo,CD,-4.45,26.6667,69.39,90,100,2.57,overcast clouds
Stephenville,US,32.2207,-98.2023,57.2,41,1,3.44,clear sky
Razole,IN,16.4833,81.8333,67.1,92,0,2.3,clear sky
Magdagachi,RU,53.45,125.8,-11.7,90,100,7.0,overcast clouds
Manta,EC,-0.95,-80.7333,82.4,78,40,6.91,scattered clouds
Hambantota,LK,6.1241,81.1185,72.59,77,100,15.41,overcast clouds
Kuching,MY,1.55,110.3333,75.2,94,40,3.44,moderate rain
Tupik,RU,54.4253,119.9327,-18.53,85,100,5.79,overcast clouds
Bontang,ID,0.1333,117.5,77.58,84,100,5.79,light rain
Severnoye,RU,56.3491,78.3619,3.33,94,100,10.74,light snow
Batagay-Alyta,RU,67.8006,130.4114,-40.38,80,0,0.72,clear sky
Kroya,ID,-7.6331,109.2461,75.83,91,100,5.7,moderate rain
Ormond Beach,US,29.2858,-81.0559,78.01,65,40,6.91,scattered clouds
Sangar,RU,63.9242,127.4739,-54.94,67,77,4.56,broken clouds
Tawang,IN,27.5833,91.8667,29.64,82,0,4.54,clear sky
Mosquera,CO,4.7059,-74.2302,66.2,45,75,9.22,broken clouds
Hailey,US,43.5196,-114.3153,24.8,58,40,9.22,scattered clouds
Waipawa,NZ,-41.4122,175.5153,68.0,77,20,21.85,few clouds
Makubetsu,JP,45.3714,141.8211,25.61,96,100,12.86,overcast clouds
Poum,NC,-20.2333,164.0167,80.26,76,100,15.26,overcast clouds
Mount Pleasant,US,32.7941,-79.8626,66.2,100,40,6.91,heavy intensity rain
Port Antonio,JM,18.18,-76.4612,87.01,61,20,27.63,few clouds
Axim,GH,4.8699,-2.2405,79.32,84,100,8.99,overcast clouds
Misratah,LY,32.3754,15.0925,57.56,61,69,27.6,broken clouds
Alekseyevsk,RU,57.8406,108.3492,-23.58,83,100,4.09,overcast clouds
Tagab,AF,34.855,69.6492,26.6,54,0,2.3,smoke
Roma,US,43.2128,-75.4557,26.6,80,90,11.5,snow
Totoral,PE,-17.4053,-70.365,69.15,44,97,9.53,overcast clouds
San Quintin,MX,30.4833,-115.95,56.62,55,17,20.49,few clouds
Koumac,NC,-20.5667,164.2833,78.3,78,75,4.36,broken clouds
Pevek,RU,69.7008,170.3133,-30.41,84,12,2.71,few clouds
Niquero,CU,20.0431,-77.5828,80.94,62,100,1.45,overcast clouds
Klaksvik,FO,62.2266,-6.589,28.4,69,88,8.05,overcast clouds
Praia Da Vitoria,PT,38.7333,-27.0667,63.0,88,40,30.89,scattered clouds
Kalabo,ZM,-14.97,22.6814,67.15,94,100,4.09,light rain
Haines Junction,CA,60.7522,-137.5108,1.4,66,41,5.75,scattered clouds
Ceres,US,37.5949,-120.9577,48.99,46,1,10.36,clear sky
Ajaccio,FR,42.0,8.9167,41.0,75,0,8.05,clear sky
